revenue,num_purchases,purchase,ab_group,av_site visit
0,0,0,A,9.040173968
0,0,0,A,4.811628418
0,0,0,A,7.34262257
0,0,0,A,7.744580575
0,0,0,A,10.5118137
0,0,0,A,9.578726708
0,0,0,A,6.162600943
0,0,0,A,11.9094524
0,0,0,A,6.540909812
0,0,0,A,7.990794433
0,0,0,A,8.247499313
0,0,0,A,3.019651007
0,0,0,A,4.996551429
0,0,0,A,6.696749455
0,0,0,A,10.11263648
0,0,0,A,8.007956598
0,0,0,A,5.992043402
0,0,0,A,6.7205623
0,0,0,A,8.686603355
0,0,0,A,8.706334842
0,0,0,A,10.48287358
0,0,0,A,6.33179879
0,0,0,A,9.491278792
0,0,0,A,6.456279056
0,0,0,A,5.10096142
0,0,0,A,3.126844053
0,0,0,A,6.137648956
0,0,0,A,10.67379471
0,0,0,A,6.439114617
0,0,0,A,8.006046659
0,0,0,A,10.16344995
0,0,0,A,7.483000804
0,0,0,A,5.829825927
0,0,0,A,5.62889581
0,0,0,A,10.64442712
0,0,0,A,6.560679953
0,0,0,A,6.234555617
0,0,0,A,9.709984983
0,0,0,A,10.50824848
0,0,0,A,7.24934252
0,0,0,A,5.917323865
0,0,0,A,9.409610715
0,0,0,A,3.635624484
0,0,0,A,3.028473106
0,0,0,A,6.60009518
1.885595,1,1,A,7.654627001
0,0,0,A,4.923450792
0,0,0,A,7.664481377
0,0,0,A,4.717036422
0,0,0,A,4.504728526
0,0,0,A,6.525186922
0,0,0,A,6.253452643
0,0,0,A,8.531172984
0,0,0,A,8.414191502
1.002159,1,1,A,6.392489372
0,0,0,A,6.18210051
0,0,0,A,9.876276994
0,0,0,A,6.9223337
0,0,0,A,5.682974365
0,0,0,A,10.34687684
0,0,0,A,5.678408701
0,0,0,A,6.469919203
0,0,0,A,7.745726538
0,0,0,A,10.20972504
0,0,0,A,5.207763383
0,0,0,A,7.902994088
0,0,0,A,5.317980499
0,0,0,A,5.939929355
0,0,0,A,7.047969024
0,0,0,A,5.723374119
0,0,0,A,7.716286195
0,0,0,A,8.156586222
0,0,0,A,11.9094524
0,0,0,A,7.986819941
0,0,0,A,6.44515821
0,0,0,A,6.325323188
0,0,0,A,6.133788151
0,0,0,A,8.863554644
0,0,0,A,6.856750037
0,0,0,A,8.874445843
0,0,0,A,6.413926162
0,0,0,A,8.78949449
2.99,1,1,A,8.596604307
0,0,0,A,8.912530934
0,0,0,A,3.99854925
0,0,0,A,2.296166162
0,0,0,A,6.953868155
0,0,0,A,8.898797564
0,0,0,A,8.961439011
0,0,0,A,4.855366018
0,0,0,A,7.292111508
0,0,0,A,9.163214958
0,0,0,A,5.023658918
0,0,0,A,7.257978172
0,0,0,A,5.643570507
0,0,0,A,8.779699232
0,0,0,A,9.324245543
0,0,0,A,8.218636498
0,0,0,A,7.479535629
0,0,0,A,7.401623765
0,0,0,A,9.052311174
0,0,0,A,10.6324127
0,0,0,A,7.397876647
0,0,0,A,4.859981704
49.99,1,1,A,8.885632628
0,0,0,A,6.415522325
0,0,0,A,5.017165126
0,0,0,A,4.699633241
0,0,0,A,10.06969923
0,0,0,A,4.88423338
22.093757,4,1,A,8.708758646
0,0,0,A,8.958965186
0,0,0,A,7.826057658
2.77365,1,1,A,4.212116796
8.719624,2,1,A,7.819229626
0,0,0,A,6.169442617
0,0,0,A,8.363177944
0,0,0,A,7.432269189
0,0,0,A,4.003260432
0,0,0,A,7.384775376
0,0,0,A,12.00513124
0,0,0,A,11.4396802
0,0,0,A,7.132667992
0,0,0,A,4.266068021
0,0,0,A,5.099278855
0,0,0,A,5.526041054
0,0,0,A,8.625385266
0,0,0,A,6.135634425
0,0,0,A,5.324724402
0,0,0,A,4.704371708
0,0,0,A,5.676885298
0,0,0,A,5.269545358
0,0,0,A,8.738699211
0,0,0,A,10.20309482
0,0,0,A,5.718681127
0,0,0,A,7.612158146
0,0,0,A,7.767749953
0,0,0,A,7.853794972
0,0,0,A,7.157674549
0,0,0,A,2.88193532
0,0,0,A,6.016981747
0,0,0,A,7.581924269
0,0,0,A,6.091241989
0,0,0,A,6.363908501
0,0,0,A,3.951983121
0,0,0,A,8.875159796
0,0,0,A,7.077511686
0,0,0,A,7.737368282
0,0,0,A,8.632845397
0,0,0,A,9.197862159
0,0,0,A,5.545640665
0,0,0,A,6.803926585
0,0,0,A,2.649268385
0,0,0,A,6.56663487
0,0,0,A,5.495354703
11.22002,3,1,A,7.949321475
0,0,0,A,6.355534328
0,0,0,A,6.544993443
0,0,0,A,7.474969966
0,0,0,A,8.653861545
0,0,0,A,7.163045115
0,0,0,A,11.37383278
0,0,0,A,3.962205842
0,0,0,A,8.236367098
0,0,0,A,9.194228728
0,0,0,A,3.243768692
0,0,0,A,6.752972144
0,0,0,A,4.520644683
0,0,0,A,9.022234185
0,0,0,A,7.651562004
0,0,0,A,6.793931238
0,0,0,A,6.663432391
0,0,0,A,7.307275059
0,0,0,A,5.029634298
0,0,0,A,6.976821528
0,0,0,A,6.018359631
0,0,0,A,5.570046955
0,0,0,A,6.342951469
0,0,0,A,7.683753569
0,0,0,A,5.052862793
0,0,0,A,5.154316927
0,0,0,A,4.71262992
0,0,0,A,6.472454419
0,0,0,A,7.081799953
0,0,0,A,3.695796654
0,0,0,A,5.490275175
0,0,0,A,7.017364528
0,0,0,A,6.280450993
0,0,0,A,9.474089342
0,0,0,A,10.84752639
0,0,0,A,5.687530933
0,0,0,A,7.769728103
0,0,0,A,8.537537173
0,0,0,A,8.961934686
0,0,0,A,8.007260835
0,0,0,A,6.712063072
0,0,0,A,7.104159881
0,0,0,A,10.37959136
0,0,0,A,5.279754436
0,0,0,A,8.141065695
0,0,0,A,6.098361059
0,0,0,A,8.520734259
0,0,0,A,7.941108738
0,0,0,A,6.507069788
0,0,0,A,8.861667442
0,0,0,A,7.636091499
0,0,0,A,3.834940248
0,0,0,A,7.888617251
0,0,0,A,6.250499059
0,0,0,A,6.742792625
0,0,0,A,4.074219209
0,0,0,A,11.08548658
0,0,0,A,9.931137715
19.99,1,1,A,7.303250545
0,0,0,A,5.593852979
0,0,0,A,9.98177838
0,0,0,A,8.531379894
0,0,0,A,7.647205525
0,0,0,A,11.46521881
0,0,0,A,6.911462965
0,0,0,A,9.344199856
0,0,0,A,8.095806965
0,0,0,A,7.824056769
0,0,0,A,6.992273843
0,0,0,A,6.385277079
0,0,0,A,7.572035788
0,0,0,A,7.443083081
0,0,0,A,5.528851393
0,0,0,A,6.0379888
0,0,0,A,6.277349616
0,0,0,A,8.833768692
0,0,0,A,8.123826223
0,0,0,A,7.211607585
3.931527,1,1,A,2.970792952
0,0,0,A,8.143948793
0,0,0,A,7.620339051
0,0,0,A,5.772327672
0,0,0,A,8.313605935
0,0,0,A,3.286642272
0,0,0,A,7.698532858
29.98,2,1,A,4.629447535
3.719415,1,1,A,5.284401954
0,0,0,A,7.87176204
0,0,0,A,8.825633262
0,0,0,A,4.396125764
0,0,0,A,5.711159606
0,0,0,A,8.266325853
0,0,0,A,3.784717951
0,0,0,A,6.562246558
0,0,0,A,5.541054538
2.488312,1,1,A,4.275381247
0,0,0,A,4.088425516
0,0,0,A,7.104621449
0,0,0,A,6.017325081
0,0,0,A,10.73764124
0,0,0,A,4.457043719
0,0,0,A,5.970965862
0,0,0,A,7.788709258
0,0,0,A,11.06354957
0,0,0,A,7.809920948
0,0,0,A,8.792009243
2.444084,1,1,A,8.618582246
0,0,0,A,10.04460627
0,0,0,A,7.114580416
0,0,0,A,6.849537744
0,0,0,A,7.940594873
0,0,0,A,9.205433702
0,0,0,A,6.700307853
0,0,0,A,4.418458406
0,0,0,A,5.089160727
0,0,0,A,8.190023795
0,0,0,A,7.225149961
0,0,0,A,8.445005182
0,0,0,A,4.965223884
0,0,0,A,3.597871359
0,0,0,A,4.102477209
0,0,0,A,8.444807367
0,0,0,A,5.488237907
0,0,0,A,4.768236426
0,0,0,A,6.412168563
0,0,0,A,8.040752977
0,0,0,A,3.938722688
0,0,0,A,11.84080374
0,0,0,A,8.746079761
0,0,0,A,3.304504748
0,0,0,A,6.415363163
0,0,0,A,7.655272743
0,0,0,A,6.368412773
0,0,0,A,3.759388523
0,0,0,A,8.079843059
0,0,0,A,9.324245543
0,0,0,A,10.08569724
0,0,0,A,7.602385626
0,0,0,A,8.068706297
0,0,0,A,6.655669853
0,0,0,A,8.201183295
0,0,0,A,7.604466095
0,0,0,A,6.880360519
0,0,0,A,5.374191819
0,0,0,A,9.203469194
0,0,0,A,7.210684448
0,0,0,A,6.77746711
0,0,0,A,8.160747161
0,0,0,A,9.461310942
0,0,0,A,3.921824277
0,0,0,A,5.805774339
0,0,0,A,7.512668521
0,0,0,A,8.597445589
0,0,0,A,3.681945049
0,0,0,A,6.295609996
0,0,0,A,10.46147317
0,0,0,A,7.413183443
0,0,0,A,9.662100087
0,0,0,A,7.216530225
0,0,0,A,7.913851181
0,0,0,A,3.056649252
0,0,0,A,7.831223588
0,0,0,A,6.680023848
0,0,0,A,6.301305706
0,0,0,A,6.46135631
0,0,0,A,7.820894002
0,0,0,A,9.826809578
0,0,0,A,4.127160896
0,0,0,A,10.25662768
0,0,0,A,6.261485755
0,0,0,A,6.781314273
0,0,0,A,6.891856532
0,0,0,A,3.870301402
0,0,0,A,3.196311258
0,0,0,A,7.184854798
0,0,0,A,7.55102646
0,0,0,A,7.286390787
0,0,0,A,9.190045052
0,0,0,A,3.94953658
0,0,0,A,9.383885658
0,0,0,A,6.092597136
0,0,0,A,5.989783307
0,0,0,A,9.72422767
0,0,0,A,7.107531832
0,0,0,A,7.841075689
60.249775,1,1,A,4.354871084
0,0,0,A,6.924018539
0,0,0,A,3.126844053
0,0,0,A,6.803465016
0,0,0,A,9.061656232
0,0,0,A,7.028380782
0,0,0,A,9.468832463
0,0,0,A,8.108451215
0,0,0,A,7.968716449
0,0,0,A,9.352126103
0,0,0,A,5.178541318
0,0,0,A,6.408973963
0,0,0,A,7.975601324
0,0,0,A,9.158276402
0,0,0,A,4.897043613
0,0,0,A,5.427060746
0,0,0,A,7.986128725
0,0,0,A,6.04039214
0,0,0,A,7.144323167
0,0,0,A,6.566789484
0,0,0,A,5.780995156
0,0,0,A,6.48480081
0,0,0,A,8.106132004
0,0,0,A,8.95427674
0,0,0,A,6.26394139
0,0,0,A,6.28762918
0,0,0,A,6.306344307
0,0,0,A,7.794830157
0,0,0,A,6.114252205
0,0,0,A,8.916400834
0,0,0,A,8.474359124
0,0,0,A,3.836550054
0,0,0,A,4.124587026
4.99,1,1,A,6.015944923
0,0,0,A,6.646192919
0,0,0,A,11.86696081
0,0,0,A,9.130545909
0,0,0,A,5.237285581
0,0,0,A,5.111979949
0,0,0,A,7.066029315
0,0,0,A,6.577748895
0,0,0,A,3.421956894
0,0,0,A,6.337296686
0,0,0,A,8.231924216
0,0,0,A,5.530252014
0,0,0,A,6.929682417
0,0,0,A,6.725196176
0,0,0,A,9.908927854
0,0,0,A,6.008857685
0,0,0,A,6.765454959
0,0,0,A,6.043652679
0,0,0,A,9.000165296
0,0,0,A,6.744027264
0,0,0,A,1.346144376
0,0,0,A,10.06424226
0,0,0,A,7.912832547
0,0,0,A,6.212946022
0,0,0,A,7.616487341
0,0,0,A,7.461288892
0,0,0,A,9.007745934
0,0,0,A,6.944684532
0,0,0,A,5.289922587
0,0,0,A,4.325603545
0,0,0,A,11.2636384
0,0,0,A,5.342907475
0,0,0,A,6.835113158
0,0,0,A,7.214222382
0,0,0,A,5.973585207
0,0,0,A,8.68747647
0,0,0,A,5.575574409
0,0,0,A,8.950334081
0,0,0,A,8.262214937
0,0,0,A,5.27132342
0,0,0,A,4.77649009
0,0,0,A,6.999618012
0,0,0,A,10.98145858
0,0,0,A,9.779825081
0,0,0,A,5.102161953
0,0,0,A,4.524596438
0,0,0,A,9.866408977
0,0,0,A,10.16398655
0,0,0,A,10.24516805
0,0,0,A,9.124083949
0,0,0,A,7.228230874
0,0,0,A,5.291464181
0,0,0,A,8.030603016
0,0,0,A,6.984470378
0,0,0,A,8.099365363
0,0,0,A,5.25593477
0,0,0,A,3.052356437
0,0,0,A,5.798452907
0,0,0,A,2.15919626
0,0,0,A,7.928480404
0,0,0,A,7.422407993
0,0,0,A,2.447396941
0,0,0,A,4.577697286
0,0,0,A,8.152066034
